chromosome	left	right	locus_tag	gene_name	strand	feature	completeness	name	offset	type
NC_002516.2	3515013	3515089	control	control	-	gene	complete	566_PA3133.3_Ctrl_74	74	control
NC_002516.2	3517927	3518995	control	control	+	gene	complete	206_PA3136_Ctrl_60	60	control
NC_002516.2	3522747	3523944	control	control	+	gene	complete	700_PA3139_Ctrl_43	43	control
NC_002516.2	3528427	3529447	control	control	-	gene	complete	873_PA3145_Ctrl_104	104	control
NC_002516.2	3535970	3536579	control	control	-	gene	complete	646_PA3152_Ctrl_72	72	control
NC_002516.2	3540209	3540785	control	control	-	gene	complete	174_PA3156_Ctrl_178	178	control
NC_002516.2	3550745	3552986	control	control	-	pseudo-gene	complete	503_PA3164_Ctrl_49	49	control
NC_002516.2	3566162	3567377	control	control	+	gene	complete	258_PA3176_Ctrl_90	90	control
NC_002516.2	3570413	3570851	control	control	+	gene	complete	106_PA3180_Ctrl_88	88	control
NC_002516.2	3579350	3580283	control	control	-	gene	complete	185_PA3189_Ctrl_86	86	control
NC_002516.2	3585476	3587303	control	control	-	gene	complete	715_PA3194_Ctrl_27	27	control
NC_002516.2	3594207	3594570	control	control	+	gene	complete	208_PA3203_Ctrl_42	42	control
NC_002516.2	3594580	3595258	control	control	+	gene	complete	391_PA3204_Ctrl_33	33	control
NC_002516.2	3609075	3609840	control	control	+	gene	complete	166_PA3220_Ctrl_51	51	control
NC_002516.2	3611253	3611895	control	control	-	gene	complete	654_PA3223_Ctrl_54	54	control
NC_002516.2	3618725	3618884	control	control	-	gene	complete	239_PA3231_Ctrl_95	95	control
NC_002516.2	3618992	3619619	control	control	-	gene	complete	61_PA3232_Ctrl_52	52	control
NC_002516.2	3636620	3637679	control	control	+	gene	complete	760_PA3250_Ctrl_139	139	control
NC_002516.2	3642963	3645060	control	control	+	gene	complete	904_PA3257_Ctrl_19	19	control
NC_002516.2	3647754	3648066	control	control	-	gene	complete	874_PA3260_Ctrl_53	53	control
NC_002516.2	3648169	3648916	control	control	+	gene	complete	780_PA3261_Ctrl_84	84	control
NC_002516.2	3663508	3667855	control	control	-	gene	complete	583_PA3272_Ctrl_76	76	control
NC_002516.2	3671226	3672549	control	control	-	gene	complete	750_PA3279_Ctrl_102	102	control
NC_002516.2	3681047	3681461	control	control	+	gene	complete	486_PA3289_Ctrl_74	74	control
NC_002516.2	3681499	3684148	control	control	-	gene	complete	711_PA3290_Ctrl_173	173	control
NC_002516.2	3699368	3700319	control	control	+	gene	complete	601_PA3301_Ctrl_57	57	control
NC_002516.2	3700936	3702112	control	control	+	gene	complete	291_PA3303_Ctrl_82	82	control
NC_002516.2	3710224	3710680	control	control	+	gene	complete	789_PA3309_Ctrl_40	40	control
NC_002516.2	3718434	3719205	control	control	+	gene	complete	603_PA3316_Ctrl_71	71	control
NC_002516.2	3737611	3738778	control	control	+	gene	complete	133_PA3328_Ctrl_59	59	control
NC_002516.2	3744056	3744809	control	control	+	gene	complete	238_PA3335_Ctrl_73	73	control
NC_002516.2	3744900	3746067	control	control	+	gene	complete	770_PA3336_Ctrl_7	7	control
NC_002516.2	3749718	3751767	control	control	-	gene	complete	767_PA3340_Ctrl_91	91	control
NC_002516.2	3752043	3752478	control	control	-	gene	complete	772_PA3341_Ctrl_76	76	control
NC_002516.2	3755020	3757159	control	control	-	gene	complete	423_PA3344_Ctrl_139	139	control
NC_002516.2	3757242	3757593	control	control	-	gene	complete	374_PA3345_Ctrl_6	6	control
NC_002516.2	3760896	3761829	control	control	-	gene	complete	188_PA3349_Ctrl_76	76	control
NC_002516.2	3761960	3762659	control	control	+	gene	complete	220_PA3350_Ctrl_42	42	control
NC_002516.2	3761960	3762659	control	control	+	gene	complete	473_PA3350_Ctrl_86	86	control
NC_002516.2	3763680	3764472	control	control	+	gene	complete	548_PA3353_Ctrl_49	49	control
NC_002516.2	3765128	3766433	control	control	-	gene	complete	958_PA3355_Ctrl_45	45	control
NC_002516.2	3768183	3769530	control	control	+	gene	complete	626_PA3357_Ctrl_76	76	control
NC_002516.2	3768183	3769530	control	control	+	gene	complete	901_PA3357_Ctrl_26	26	control
NC_002516.2	3771502	3772561	control	control	-	gene	complete	938_PA3360_Ctrl_84	84	control
NC_002516.2	3773028	3773376	control	control	+	gene	complete	954_PA3361_Ctrl_80	80	control
NC_002516.2	3774577	3775735	control	control	-	gene	complete	627_PA3364_Ctrl_118	118	control
NC_002516.2	3787488	3788211	control	control	-	gene	complete	151_PA3381_Ctrl_7	7	control
NC_002516.2	3788231	3789026	control	control	-	gene	complete	639_PA3382_Ctrl_82	82	control
NC_002516.2	3801103	3801931	control	control	+	gene	complete	648_PA3395_Ctrl_122	122	control
NC_002516.2	3801947	3802484	control	control	+	gene	complete	279_PA3396_Ctrl_22	22	control
NC_002516.2	3802566	3803343	control	control	-	gene	complete	659_PA3397_Ctrl_18	18	control
NC_002516.2	3811937	3813740	control	control	-	gene	complete	195_PA3406_Ctrl_192	192	control
NC_002516.2	3811937	3813740	control	control	-	gene	complete	402_PA3406_Ctrl_10	10	control
NC_002516.2	3813957	3814575	control	control	-	gene	complete	652_PA3407_Ctrl_129	129	control
NC_002516.2	3818596	3819112	control	control	-	gene	complete	109_PA3410_Ctrl_87	87	control
NC_002516.2	3820005	3820272	control	control	+	gene	complete	85_PA3413_Ctrl_71	71	control
NC_002516.2	3820307	3820892	control	control	+	gene	complete	629_PA3414_Ctrl_62	62	control
NC_002516.2	3823508	3824606	control	control	-	gene	complete	945_PA3417_Ctrl_22	22	control
NC_002516.2	3833773	3835180	control	control	+	gene	complete	76_PA3424_Ctrl_72	72	control
NC_002516.2	3835578	3836349	control	control	-	gene	complete	294_PA3426_Ctrl_83	83	control
NC_002516.2	3838777	3839557	control	control	-	gene	complete	192_PA3430_Ctrl_132	132	control
NC_002516.2	3862308	3864273	control	control	+	gene	complete	212_PA3456_Ctrl_2	2	control
NC_002516.2	3865280	3865754	control	control	-	gene	complete	383_PA3458_Ctrl_106	106	control
NC_002516.2	3873605	3873836	control	control	+	gene	complete	259_PA3463_Ctrl_98	98	control
NC_002516.2	3874653	3875979	control	control	-	gene	complete	392_PA3464_Ctrl_73	73	control
NC_002516.2	3885710	3886307	control	control	+	gene	complete	790_PA3472_Ctrl_95	95	control
NC_002516.2	3893431	3893998	control	control	-	gene	complete	526_PA3480_Ctrl_100	100	control
NC_002516.2	3895323	3897357	control	control	+	gene	complete	476_PA3482_Ctrl_66	66	control
NC_002516.2	3913128	3913767	control	control	+	gene	complete	801_PA3495_Ctrl_54	54	control
NC_002516.2	3917208	3918228	control	control	-	gene	complete	662_PA3500_Ctrl_95	95	control
NC_002516.2	3925368	3926238	control	control	-	gene	complete	988_PA3509_Ctrl_18	18	control
NC_002516.2	3928330	3929338	control	control	-	gene	complete	704_PA3513_Ctrl_6	6	control
NC_002516.2	3935799	3936837	control	control	-	gene	complete	737_PA3519_Ctrl_14	14	control
NC_002516.2	3939491	3942653	control	control	-	gene	complete	368_PA3522_Ctrl_98	98	control
NC_002516.2	3952499	3954608	control	control	-	gene	complete	44_PA3534_Ctrl_45	45	control
NC_002516.2	3959954	3961037	control	control	+	gene	complete	393_PA3538_Ctrl_27	27	control
NC_002516.2	3962824	3964135	control	control	+	gene	complete	918_PA3540_Ctrl_177	177	control
NC_002516.2	3964274	3965759	control	control	+	gene	complete	895_PA3541_Ctrl_27	27	control
NC_002516.2	3986535	3986883	control	control	+	gene	complete	538_PA3557_Ctrl_29	29	control
NC_002516.2	3990596	3991541	control	control	-	gene	complete	273_PA3561_Ctrl_13	13	control
NC_002516.2	3994738	3995728	control	control	+	gene	complete	256_PA3563_Ctrl_122	122	control
NC_002516.2	3995840	3996518	control	control	+	gene	complete	935_PA3564_Ctrl_59	59	control
NC_002516.2	3996805	3997726	control	control	-	gene	complete	429_PA3565_Ctrl_63	63	control
NC_002516.2	4004782	4004959	control	control	+	gene	complete	210_PA3572_Ctrl_66	66	control
NC_002516.2	4007506	4008037	control	control	+	gene	complete	38_PA3575_Ctrl_2	2	control
NC_002516.2	4010522	4012007	control	control	-	gene	complete	562_PA3579_Ctrl_67	67	control
NC_002516.2	4018111	4018441	control	control	+	gene	complete	584_PA3585_Ctrl_80	80	control
NC_002516.2	4019742	4020663	control	control	+	gene	complete	697_PA3587_Ctrl_89	89	control
NC_002516.2	4028652	4029540	control	control	+	gene	complete	865_PA3594_Ctrl_2	2	control
NC_002516.2	4045933	4048339	control	control	-	gene	complete	964_PA3613_Ctrl_39	39	control
NC_002516.2	4063874	4064987	control	control	-	gene	complete	685_PA3629_Ctrl_124	124	control
NC_002516.2	4063874	4064987	control	control	-	gene	complete	930_PA3629_Ctrl_74	74	control
NC_002516.2	4067603	4068308	control	control	-	gene	complete	379_PA3633_Ctrl_72	72	control
NC_002516.2	4085061	4087455	control	control	-	gene	complete	948_PA3648_Ctrl_111	111	control
NC_002516.2	4102086	4102446	control	control	+	gene	complete	546_PA3661_Ctrl_89	89	control
NC_002516.2	4104091	4104715	control	control	+	gene	complete	372_PA3665_Ctrl_96	96	control
NC_002516.2	4110346	4111081	control	control	-	gene	complete	878_PA3671_Ctrl_85	85	control
NC_002516.2	4116187	4119265	control	control	-	gene	complete	896_PA3676_Ctrl_138	138	control
NC_002516.2	4119269	4120373	control	control	-	gene	complete	696_PA3677_Ctrl_83	83	control
NC_002516.2	4138006	4139302	control	control	-	gene	complete	749_PA3697_Ctrl_31	31	control
NC_002516.2	4157125	4157821	control	control	-	gene	complete	535_PA3712_Ctrl_135	135	control
NC_002516.2	4165887	4166313	control	control	-	gene	complete	96_PA3720_Ctrl_81	81	control
NC_002516.2	4173174	4173867	control	control	-	gene	complete	516_PA3727_Ctrl_40	40	control
NC_002516.2	4185521	4186727	control	control	+	gene	complete	112_PA3734_Ctrl_55	55	control
NC_002516.2	4195007	4195358	control	control	-	gene	complete	321_PA3742_Ctrl_55	55	control
NC_002516.2	4206047	4206602	control	control	+	gene	complete	384_PA3755_Ctrl_39	39	control
NC_002516.2	4208167	4209259	control	control	+	gene	complete	201_PA3758_Ctrl_103	103	control
NC_002516.2	4214761	4215079	control	control	-	gene	complete	693_PA3762_Ctrl_133	133	control
NC_002516.2	4219840	4221199	control	control	+	gene	complete	394_PA3764_Ctrl_35	35	control
NC_002516.2	4221922	4223179	control	control	-	gene	complete	489_PA3766_Ctrl_82	82	control
NC_002516.2	4223567	4224116	control	control	-	gene	complete	274_PA3767_Ctrl_86	86	control
NC_002516.2	4233384	4234167	control	control	-	gene	complete	699_PA3775_Ctrl_111	111	control
NC_002516.2	4266469	4266901	control	control	-	gene	complete	607_PA3807_Ctrl_42	42	control
NC_002516.2	4267144	4267345	control	control	-	gene	complete	543_PA3808_Ctrl_59	59	control
NC_002516.2	4274501	4275317	control	control	+	gene	complete	16_PA3818_Ctrl_68	68	control
NC_002516.2	4275421	4275970	control	control	-	gene	complete	919_PA3819_Ctrl_72	72	control
NC_002516.2	4279388	4280507	control	control	-	gene	complete	328_PA3823_Ctrl_24	24	control
NC_002516.2	4280519	4281563	control	control	-	gene	complete	413_PA3824_Ctrl_32	32	control
NC_002516.2	4280519	4281563	control	control	-	gene	complete	1000_PA3824_Ctrl_56	56	control
NC_002516.2	4286786	4287710	control	control	-	gene	complete	797_PA3829_Ctrl_65	65	control
NC_002516.2	4291355	4294208	control	control	+	gene	complete	702_PA3834_Ctrl_93	93	control
NC_002516.2	4306379	4307276	control	control	+	gene	complete	221_PA3845_Ctrl_53	53	control
NC_002516.2	4309903	4310908	control	control	+	gene	complete	517_PA3849_Ctrl_56	56	control
NC_002516.2	4315555	4316038	control	control	-	gene	complete	920_PA3856_Ctrl_49	49	control
NC_002516.2	4342121	4343528	control	control	-	gene	complete	340_PA3876_Ctrl_156	156	control
NC_002516.2	4342121	4343528	control	control	-	gene	complete	427_PA3876_Ctrl_108	108	control
NC_002516.2	4355265	4356201	control	control	+	gene	complete	29_PA3889_Ctrl_41	41	control
NC_002516.2	4371286	4371748	control	control	-	gene	complete	193_PA3902_Ctrl_15	15	control
NC_002516.2	4403706	4403877	control	control	-	gene	complete	101_PA3928_Ctrl_42	42	control
NC_002516.2	4418302	4418584	control	control	+	gene	complete	225_PA3940_Ctrl_41	41	control
NC_002516.2	4420203	4421799	control	control	-	gene	complete	868_PA3943_Ctrl_77	77	control
NC_002516.2	4428411	4429041	control	control	+	gene	complete	20_PA3948_Ctrl_50	50	control
NC_002516.2	4432025	4432529	control	control	-	gene	complete	802_PA3951_Ctrl_48	48	control
NC_002516.2	4459878	4461219	control	control	+	gene	complete	687_PA3980_Ctrl_29	29	control
NC_002516.2	4462878	4463718	control	control	+	gene	complete	456_PA3983_Ctrl_38	38	control
NC_002516.2	4463903	4465439	control	control	+	gene	complete	36_PA3984_Ctrl_77	77	control
NC_002516.2	4482260	4483364	control	control	-	gene	complete	725_PA4002_Ctrl_183	183	control
NC_002516.2	4483395	4485336	control	control	-	gene	complete	428_PA4003_Ctrl_5	5	control
NC_002516.2	4489640	4490498	control	control	-	gene	complete	994_PA4009_Ctrl_87	87	control
NC_002516.2	4491277	4492591	control	control	+	gene	complete	527_PA4011_Ctrl_26	26	control
NC_002516.2	4497849	4498479	control	control	-	gene	complete	777_PA4019_Ctrl_109	109	control
NC_002516.2	4519274	4520201	control	control	+	gene	complete	24_PA4037_Ctrl_38	38	control
NC_002516.2	4526546	4528430	control	control	+	gene	complete	234_PA4044_Ctrl_28	28	control
NC_002516.2	4526546	4528430	control	control	+	gene	complete	560_PA4044_Ctrl_7	7	control
NC_002516.2	4529994	4530612	control	control	-	gene	complete	906_PA4047_Ctrl_57	57	control
NC_002516.2	4533639	4534119	control	control	-	gene	complete	572_PA4052_Ctrl_114	114	control
NC_002516.2	4536920	4538042	control	control	-	gene	complete	240_PA4056_Ctrl_30	30	control
NC_002516.2	4538038	4538503	control	control	-	gene	complete	714_PA4057_Ctrl_79	79	control
NC_002516.2	4539155	4539817	control	control	+	pseudo-gene	complete	613_PA4058_Ctrl_80	80	control
NC_002516.2	4541271	4541862	control	control	+	gene	complete	828_PA4063_Ctrl_9	9	control
NC_002516.2	4554837	4555044	control	control	+	gene	complete	842_PA4077_Ctrl_12	12	control
NC_002516.2	4561539	4564596	control	control	-	gene	complete	553_PA4082_Ctrl_36	36	control
NC_002516.2	4564683	4565424	control	control	-	gene	complete	387_PA4083_Ctrl_84	84	control
NC_002516.2	4569053	4569623	control	control	-	gene	complete	95_PA4086_Ctrl_52	52	control
NC_002516.2	4575331	4575844	control	control	+	gene	complete	346_PA4092_Ctrl_32	32	control
NC_002516.2	4576371	4577331	control	control	-	gene	complete	929_PA4094_Ctrl_5	5	control
NC_002516.2	4587319	4587949	control	control	+	gene	complete	99_PA4103_Ctrl_29	29	control
NC_002516.2	4601573	4602083	control	control	-	gene	complete	30_PA4114_Ctrl_42	42	control
NC_002516.2	4610236	4611016	control	control	+	gene	complete	653_PA4122_Ctrl_2	2	control
NC_002516.2	4613538	4613931	control	control	+	gene	complete	619_PA4125_Ctrl_87	87	control
NC_002516.2	4614023	4615328	control	control	+	gene	complete	507_PA4126_Ctrl_14	14	control
NC_002516.2	4616161	4616968	control	control	+	gene	complete	436_PA4128_Ctrl_85	85	control
NC_002516.2	4624322	4624565	control	control	+	gene	complete	382_PA4134_Ctrl_50	50	control
NC_002516.2	4636297	4637713	control	control	+	gene	complete	962_PA4144_Ctrl_139	139	control
NC_002516.2	4646719	4647811	control	control	+	gene	complete	481_PA4153_Ctrl_41	41	control
NC_002516.2	4657428	4658145	control	control	-	gene	complete	636_PA4162_Ctrl_36	36	control
NC_002516.2	4660562	4662053	control	control	-	gene	complete	496_PA4165_Ctrl_85	85	control
NC_002516.2	4666835	4667768	control	control	+	gene	complete	358_PA4170_Ctrl_31	31	control
NC_002516.2	4678956	4679595	control	control	+	gene	complete	262_PA4182_Ctrl_32	32	control
NC_002516.2	4679598	4680066	control	control	-	gene	complete	345_PA4183_Ctrl_87	87	control
NC_002516.2	4680091	4681114	control	control	-	gene	complete	276_PA4184_Ctrl_117	117	control
NC_002516.2	4683696	4685025	control	control	+	gene	complete	726_PA4187_Ctrl_86	86	control
NC_002516.2	4693111	4693756	control	control	-	gene	complete	244_PA4196_Ctrl_11	11	control
NC_002516.2	4699999	4700866	control	control	+	gene	complete	872_PA4200_Ctrl_56	56	control
NC_002516.2	4712094	4713099	control	control	-	gene	complete	347_PA4209_Ctrl_91	91	control
NC_002516.2	4713795	4714284	control	control	+	gene	complete	947_PA4210_Ctrl_484	484	control
NC_002516.2	4720300	4721509	control	control	+	gene	complete	504_PA4217_Ctrl_38	38	control
NC_002516.2	4724357	4724639	control	control	-	gene	complete	108_PA4220_Ctrl_5	5	control
NC_002516.2	4724638	4726801	control	control	-	gene	complete	511_PA4221_Ctrl_204	204	control
NC_002516.2	4759934	4760468	control	control	-	gene	complete	937_PA4248_Ctrl_22	22	control
NC_002516.2	4762927	4763119	control	control	-	gene	complete	12_PA4255_Ctrl_61	61	control
NC_002516.2	4763118	4763532	control	control	-	gene	complete	978_PA4256_Ctrl_42	42	control
NC_002516.2	4767810	4769004	control	control	-	gene	complete	122_PA4265_Ctrl_1179	1179	control
NC_002516.2	4780838	4781207	control	control	-	gene	complete	550_PA4271_Ctrl_33	33	control
NC_002516.2	4781984	4782680	control	control	-	gene	complete	677_PA4273_Ctrl_78	78	control
NC_002516.2	4783227	4783761	control	control	-	gene	complete	915_PA4275_Ctrl_122	122	control
NC_002516.2	4785592	4785668	control	control	-	gene	complete	316_PA4277.1_Ctrl_61	61	control
NC_002516.2	4786733	4787480	control	control	-	gene	complete	710_PA4279_Ctrl_183	183	control
NC_002516.2	4795641	4799277	control	control	+	gene	complete	126_PA4282_Ctrl_92	92	control
NC_002516.2	4829642	4830554	control	control	-	gene	complete	4_PA4305_Ctrl_67	67	control
NC_002516.2	4841462	4842464	control	control	+	gene	complete	536_PA4313_Ctrl_44	44	control
NC_002516.2	4850041	4851313	control	control	+	gene	complete	924_PA4321_Ctrl_80	80	control
NC_002516.2	4852313	4853645	control	control	+	gene	complete	11_PA4323_Ctrl_72	72	control
NC_002516.2	4854594	4854978	control	control	-	gene	complete	217_PA4326_Ctrl_99	99	control
NC_002516.2	4858489	4859263	control	control	-	gene	complete	196_PA4330_Ctrl_52	52	control
NC_002516.2	4869557	4870328	control	control	-	gene	complete	621_PA4341_Ctrl_79	79	control
NC_002516.2	4879544	4880321	control	control	+	gene	complete	509_PA4351_Ctrl_104	104	control
NC_002516.2	4883606	4884659	control	control	+	gene	complete	589_PA4356_Ctrl_135	135	control
NC_002516.2	4887278	4887506	control	control	-	gene	complete	854_PA4359_Ctrl_17	17	control
NC_002516.2	4889111	4890101	control	control	-	gene	complete	665_PA4361_Ctrl_181	181	control
NC_002516.2	4892344	4892746	control	control	+	gene	complete	246_PA4364_Ctrl_29	29	control
NC_002516.2	4901126	4902191	control	control	+	gene	complete	864_PA4372_Ctrl_9	9	control
NC_002516.2	4903465	4904596	control	control	+	gene	complete	54_PA4374_Ctrl_87	87	control
NC_002516.2	4903465	4904596	control	control	+	gene	complete	594_PA4374_Ctrl_12	12	control
NC_002516.2	4907840	4909037	control	control	+	gene	complete	92_PA4376_Ctrl_163	163	control
NC_002516.2	4907840	4909037	control	control	+	gene	complete	786_PA4376_Ctrl_132	132	control
NC_002516.2	4909400	4910105	control	control	-	gene	complete	743_PA4378_Ctrl_8	8	control
NC_002516.2	4919858	4920866	control	control	-	gene	complete	932_PA4390_Ctrl_147	147	control
NC_002516.2	4924246	4925083	control	control	-	gene	complete	263_PA4394_Ctrl_127	127	control
NC_002516.2	4931745	4932381	control	control	-	gene	complete	446_PA4401_Ctrl_6	6	control
NC_002516.2	4937819	4938215	control	control	+	gene	complete	764_PA4405_Ctrl_131	131	control
NC_002516.2	4938275	4939187	control	control	-	gene	complete	891_PA4406_Ctrl_18	18	control
NC_002516.2	4939193	4939277	control	control	-	gene	complete	154_PA4406.1_Ctrl_24	24	control
NC_002516.2	4939299	4940484	control	control	-	gene	complete	525_PA4407_Ctrl_129	129	control
NC_002516.2	4949771	4951148	control	control	-	gene	complete	631_PA4416_Ctrl_52	52	control
NC_002516.2	4949771	4951148	control	control	-	gene	complete	907_PA4416_Ctrl_110	110	control
NC_002516.2	4963054	4964266	control	control	-	gene	complete	457_PA4430_Ctrl_83	83	control
NC_002516.2	4964265	4964859	control	control	-	gene	complete	753_PA4431_Ctrl_51	51	control
NC_002516.2	4965108	4965501	control	control	-	gene	complete	143_PA4432_Ctrl_165	165	control
NC_002516.2	4969769	4970732	control	control	+	gene	complete	968_PA4437_Ctrl_56	56	control
NC_002516.2	4974173	4974620	control	control	+	gene	complete	849_PA4441_Ctrl_103	103	control
NC_002516.2	4986810	4987284	control	control	-	gene	complete	97_PA4454_Ctrl_108	108	control
NC_002516.2	4989304	4990285	control	control	+	gene	complete	909_PA4457_Ctrl_197	197	control
NC_002516.2	4998539	4999916	control	control	-	gene	complete	819_PA4470_Ctrl_78	78	control
NC_002516.2	5004797	5008628	control	control	-	gene	complete	637_PA4476_Ctrl_19	19	control
NC_002516.2	5017039	5017417	control	control	+	gene	complete	334_PA4485_Ctrl_23	23	control
NC_002516.2	5025613	5027383	control	control	-	gene	complete	180_PA4491_Ctrl_72	72	control
NC_002516.2	5025613	5027383	control	control	-	gene	complete	845_PA4491_Ctrl_108	108	control
NC_002516.2	5036244	5036808	control	control	+	gene	complete	751_PA4499_Ctrl_50	50	control
NC_002516.2	5040404	5042000	control	control	+	gene	complete	131_PA4502_Ctrl_65	65	control
NC_002516.2	5045027	5045999	control	control	+	gene	complete	796_PA4506_Ctrl_60	60	control
NC_002516.2	5064773	5065340	control	control	-	gene	complete	557_PA4522_Ctrl_106	106	control
NC_002516.2	5068931	5069007	control	control	-	gene	complete	890_PA4524.1_Ctrl_2	2	control
NC_002516.2	5069081	5069531	control	control	-	gene	complete	739_PA4525_Ctrl_228	228	control
NC_002516.2	5069762	5071463	control	control	+	gene	complete	463_PA4526_Ctrl_30	30	control
NC_002516.2	5075409	5075880	control	control	-	gene	complete	800_PA4533_Ctrl_84	84	control
NC_002516.2	5082442	5086696	control	control	+	gene	complete	916_PA4541_Ctrl_72	72	control
NC_002516.2	5086924	5087000	control	control	-	gene	complete	611_PA4541.1_Ctrl_71	71	control
NC_002516.2	5090127	5090856	control	control	-	gene	complete	512_PA4543_Ctrl_18	18	control
NC_002516.2	5098708	5099266	control	control	+	gene	complete	788_PA4551_Ctrl_183	183	control
NC_002516.2	5099262	5100087	control	control	+	gene	complete	448_PA4552_Ctrl_2	2	control
NC_002516.2	5100083	5100671	control	control	+	gene	complete	689_PA4553_Ctrl_35	35	control
NC_002516.2	5114669	5115890	control	control	-	gene	complete	414_PA4566_Ctrl_28	28	control
NC_002516.2	5114669	5115890	control	control	-	gene	complete	879_PA4566_Ctrl_101	101	control
NC_002516.2	5135815	5136193	control	control	+	gene	complete	266_PA4586_Ctrl_2	2	control
NC_002516.2	5140700	5141189	control	control	-	gene	complete	799_PA4590_Ctrl_49	49	control
NC_002516.2	5144526	5145720	control	control	-	gene	complete	681_PA4593_Ctrl_9	9	control
NC_002516.2	5149063	5149582	control	control	+	gene	complete	860_PA4596_Ctrl_134	134	control
NC_002516.2	5151077	5154209	control	control	-	gene	complete	827_PA4598_Ctrl_92	92	control
NC_002516.2	5154236	5155400	control	control	-	gene	complete	633_PA4599_Ctrl_48	48	control
NC_002516.2	5163535	5163739	control	control	-	gene	complete	645_PA4605_Ctrl_109	109	control
NC_002516.2	5163787	5165854	control	control	-	gene	complete	795_PA4606_Ctrl_19	19	control
NC_002516.2	5166190	5166697	control	control	-	gene	complete	575_PA4607_Ctrl_72	72	control
NC_002516.2	5166190	5166697	control	control	-	gene	complete	791_PA4607_Ctrl_72	72	control
NC_002516.2	5172252	5172666	control	control	+	gene	complete	754_PA4614_Ctrl_1	1	control
NC_002516.2	5184641	5186348	control	control	-	gene	complete	49_PA4624_Ctrl_8	8	control
NC_002516.2	5193195	5194167	control	control	+	gene	complete	812_PA4626_Ctrl_60	60	control
NC_002516.2	5197185	5197764	control	control	+	gene	complete	26_PA4629_Ctrl_62	62	control
NC_002516.2	5197185	5197764	control	control	+	gene	complete	307_PA4629_Ctrl_21	21	control
NC_002516.2	5206208	5206487	control	control	-	gene	complete	903_PA4637_Ctrl_6	6	control
NC_002516.2	5207034	5207622	control	control	-	gene	complete	816_PA4639_Ctrl_33	33	control
NC_002516.2	5212832	5213471	control	control	+	gene	complete	354_PA4646_Ctrl_51	51	control
NC_002516.2	5213473	5214757	control	control	+	gene	complete	89_PA4647_Ctrl_94	94	control
NC_002516.2	5215669	5216203	control	control	+	gene	complete	186_PA4649_Ctrl_9	9	control
NC_002516.2	5230113	5230911	control	control	-	gene	complete	863_PA4662_Ctrl_18	18	control
NC_002516.2	5237392	5238241	control	control	+	gene	complete	882_PA4669_Ctrl_98	98	control
NC_002516.2	5242025	5242102	control	control	+	gene	complete	520_PA4673.1_Ctrl_66	66	control
NC_002516.2	5243177	5245406	control	control	+	gene	complete	996_PA4675_Ctrl_7	7	control
NC_002516.2	5246184	5247423	control	control	-	gene	complete	997_PA4677_Ctrl_34	34	control
NC_002516.2	5247621	5248074	control	control	-	gene	complete	539_PA4678_Ctrl_18	18	control
NC_002516.2	5247621	5248074	control	control	-	gene	complete	784_PA4678_Ctrl_43	43	control
NC_002516.2	5252757	5254056	control	control	+	gene	complete	570_PA4684_Ctrl_1	1	control
NC_002516.2	5274007	5275732	control	control	-	gene	complete	253_PA4696_Ctrl_76	76	control
NC_002516.2	5282731	5283004	control	control	+	gene	complete	194_PA4703_Ctrl_44	44	control
NC_002516.2	5282731	5283004	control	control	+	gene	complete	544_PA4703_Ctrl_65	65	control
NC_002516.2	5289216	5291511	control	control	+	gene	complete	694_PA4710_Ctrl_7	7	control
NC_002516.2	5291613	5291961	control	control	+	gene	complete	251_PA4711_Ctrl_81	81	control
NC_002516.2	5299188	5300280	control	control	+	gene	complete	278_PA4720_Ctrl_9	9	control
NC_002516.2	5315533	5317471	control	control	+	gene	complete	245_PA4733_Ctrl_45	45	control
NC_002516.2	5318574	5321841	control	control	+	gene	complete	145_PA4735_Ctrl_36	36	control
NC_002516.2	5331502	5331961	control	control	-	gene	complete	460_PA4746_Ctrl_162	162	control
NC_002516.2	5343104	5343755	control	control	-	gene	complete	866_PA4757_Ctrl_61	61	control
NC_002516.2	5344949	5345060	control	control	-	gene	complete	272_PA4758.1_Ctrl_106	106	control
NC_002516.2	5344949	5345060	control	control	-	gene	complete	500_PA4758.1_Ctrl_47	47	control
NC_002516.2	5345948	5347082	control	control	-	gene	complete	680_PA4760_Ctrl_72	72	control
NC_002516.2	5366256	5366655	control	control	+	gene	complete	674_PA4778_Ctrl_111	111	control
NC_002516.2	5372590	5373868	control	control	-	gene	complete	598_PA4785_Ctrl_66	66	control
NC_002516.2	5377790	5378096	control	control	+	gene	complete	831_PA4789_Ctrl_1	1	control
NC_002516.2	5380579	5381143	control	control	+	gene	complete	50_PA4793_Ctrl_2	2	control
NC_002516.2	5398627	5401708	control	control	-	gene	complete	303_PA4812_Ctrl_81	81	control
NC_002516.2	5406164	5407400	control	control	+	gene	complete	478_PA4816_Ctrl_101	101	control
NC_002516.2	5412568	5414236	control	control	-	gene	complete	132_PA4822_Ctrl_12	12	control
NC_002516.2	5414278	5414488	control	control	-	gene	complete	628_PA4823_Ctrl_151	151	control
NC_002516.2	5421898	5422438	control	control	+	gene	complete	841_PA4830_Ctrl_72	72	control
NC_002516.2	5433540	5433912	control	control	-	gene	complete	514_PA4840_Ctrl_21	21	control
NC_002516.2	5439917	5441693	control	control	+	gene	complete	385_PA4845_Ctrl_72	72	control
